ticker,date,ev,evebit,evebitda,marketcap,pb,pe,ps
CLBR,2/16/2024,132.1,,,132.1,11008.3,,
A,2/16/2024,40653.7,28.3,23.8,39508.7,6.8,31.9,5.8
AA,2/16/2024,5774.1,-10.1,131.2,4890.1,1.1,-5.5,0.5
AACG,2/16/2024,41.3,-6.8,-8.9,46.2,3.3,-8.4,1.6
AACT,2/16/2024,660.2,-165050,-165050,657.5,-33.2,-164375,
AADI,2/16/2024,-20.8,0.3,0.3,46.6,0.4,-0.7,2
AAGR,2/16/2024,53.6,-1.4,-1.4,46.4,-6.8,-1.2,28.2
AAL,2/16/2024,49270.8,11.6,7.5,9567.8,-1.9,6,0.2
AAMC,2/16/2024,15.1,-0.7,-0.8,12.4,-0.1,-0.5,2.2
AAME,2/16/2024,62.2,8.9,8.1,49.4,0.5,18.3,0.3
AAN,2/16/2024,964,61.6,1.4,318.8,0.5,34.2,0.1
AAOI,2/16/2024,858.9,-15.8,-25.8,758.4,4.3,-12.1,3.5
AAON,2/16/2024,6904.8,32.8,27.2,6848.9,10,40.4,6.1
AAP,2/16/2024,7515.4,23.2,12,3837.3,1.4,20.6,0.3
AAPL,2/16/2024,2882489.3,23.8,21.7,2815209.3,38,27.9,7.3
AAT,2/16/2024,2933,25.5,12.5,1326.3,1.1,26.3,3
AAU,2/16/2024,18.5,-2.6,-2.6,18.5,0.4,-2.2,
AB,2/16/2024,3731.8,12.4,12.4,3731.8,1.8,14.1,12.4
ABAT,2/16/2024,112.9,-3.9,-3.9,104.3,1.6,-3.6,
ABBV,2/16/2024,360824.2,36.9,19.4,313365.2,25.9,48.1,5.7
ABCB,2/16/2024,3068,8.3,7.3,3274.4,1,11.5,3.5
ABCL,2/16/2024,1427.3,-9.3,-12.3,1549.5,1.3,-12,30.7
ABEO,2/16/2024,174.3,-4.6,-5,173.7,7.9,-4.5,48.7
ABEV,2/16/2024,38011.4,9,7.1,40163.1,2.5,14.3,2.6
ABG,2/16/2024,7939.8,5.9,5.6,4463,1.4,5,0.3
ABIO,2/16/2024,-13,2.4,2.5,24.2,0.7,-4.5,
ABL,2/16/2024,861.5,16.5,16,779.2,4.7,17.1,11.7
ABLV,2/16/2024,113.1,6.3,10.6,107.1,13.4,8.2,0.5
ABM,2/16/2024,3924,9.5,7.3,2550.9,1.4,10.2,0.3
ABNB,2/16/2024,92973.3,32.7,32.2,98893.3,10.8,18.1,10.3
ABOS,2/16/2024,94.8,-1.9,-2,189.9,0.7,-3.9,
ABR,2/16/2024,13592.4,34.7,29.3,2637.1,0.8,8.1,3.6
ABSI,2/16/2024,427.4,-4,-4.7,495.4,2.5,-4.7,71.4
ABT,2/16/2024,206747,30.3,20.6,197928,5.3,38.3,5
ABTS,2/16/2024,32.8,-1.4,-2.2,34.3,1.7,-1.4,261.8
ABUS,2/16/2024,470.7,-6.3,-6.4,486.3,4.1,-6.4,21.9
ABVC,2/16/2024,11.5,-1.2,-1.2,9.2,1,-0.7,12.4
ABVX,2/16/2024,698.5,-12.4,-12.5,759.5,9,-11.9,
AC,2/16/2024,337.8,8.1,8,714,0.8,20.5,49
ACA,2/16/2024,4397.6,11.3,8.1,4042.7,1.7,14.1,1.8
ACAB,2/16/2024,114.7,19,19,115.6,-7.7,27,
ACAC,2/16/2024,61.3,40,40,60.2,-14.3,62.6,
ACAD,2/16/2024,4066.7,-30.9,-32,4122.6,11.4,-27.7,6.5
ACAH,2/16/2024,127.4,10.3,10.3,128.9,-6.1,11.8,
ACB,2/16/2024,111.1,-1.2,-1.7,187,0.5,-1.7,0.9
ACBA,2/16/2024,43.8,1990.9,1990.9,41.3,-6.5,1877.3,
ACCD,2/16/2024,968.5,-7.6,-11.8,956.8,2.2,-7.8,2.5
ACCO,2/16/2024,1598.7,10.9,7.1,617,0.7,10.9,0.3
ACDC,2/16/2024,2340.6,13.2,3.9,1209.8,1,46.5,0.4
ACEL,2/16/2024,1164.9,12.1,7.6,882.8,4.4,20.5,0.8
ACET,2/16/2024,-34.6,0.2,0.3,126.9,0.7,-0.9,
ACGL,2/16/2024,34000.8,10.1,9.8,32133.8,2.1,11,2.5
ACHC,2/16/2024,9051.8,156.6,49,7643.8,2.8,-418.3,2.7
ACHL,2/16/2024,-89.6,1.2,1.3,43.2,0.3,-0.6,
ACHR,2/16/2024,1126.1,-2.5,-2.6,1576.1,4.3,-3.5,
ACHV,2/16/2024,87.8,-2.7,-2.7,91.4,22.6,-2.6,
ACI,2/16/2024,26931.2,12.8,5.9,12430.9,4.9,9.2,0.2
ACIC,2/16/2024,598.1,35.1,21.6,579,4.8,-506.6,1.7
ACIU,2/16/2024,226.4,-3,-3.1,259.2,1.9,-3.4,259200
ACIW,2/16/2024,4301.5,21.4,12.7,3350.8,2.8,37.6,2.3
ACLS,2/16/2024,3727.4,14.2,13.6,3824.2,4.8,16.5,3.5
ACLX,2/16/2024,2966.5,-23.8,-28.6,2988.8,11.2,-23.1,63.4
ACM,2/16/2024,13664.7,48.3,29.8,12131.9,5.4,196.2,0.8
ACMR,2/16/2024,1066.6,12.1,10.9,1186.7,1.6,16.6,2.4
ACN,2/16/2024,242319.7,26.7,21.3,246380.3,9.2,35.8,3.8
ACNB,2/16/2024,413.9,8.6,8,321.8,1.3,8.5,2.8
ACNT,2/16/2024,188.6,-4.3,-5.5,102.8,1.1,-2.7,0.4
ACON,2/16/2024,1.6,-0.4,-0.4,1,-1.2,-0.2,11.9
ACOR,2/16/2024,170.9,13.7,3.9,18.4,0.3,-1.2,0.2
ACR,2/16/2024,1767.7,131.5,99.1,85.1,0.2,-13.8,0.9
ACRE,2/16/2024,2040.6,541.4,513.4,458,0.7,132.5,4.3
ACRS,2/16/2024,45.6,-0.4,-0.4,84.3,0.5,-0.7,3.9
ACRV,2/16/2024,61.6,-1.2,-1.3,87.4,0.6,-1.7,
ACST,2/16/2024,12.5,-0.3,-0.3,31,0.5,-0.8,
ACT,2/16/2024,4409.1,5,5,4342.3,1,6.7,3.8
ACTG,2/16/2024,75.3,-3.1,-6.9,418.5,0.8,-11.2,9.1
ACU,2/16/2024,217.7,19.5,13.5,177.8,2.1,29.7,0.9
ACVA,2/16/2024,2185.8,-29.1,-36.6,2307,4.9,-30.1,5
ACXP,2/16/2024,37.3,-2.9,-2.9,44.4,11.3,-3.5,
ADAG,2/16/2024,28,-0.8,-0.4,131.5,1.6,-3.6,5.8
ADAP,2/16/2024,205.1,-2.2,-2.4,272.6,3.1,-2.9,3.8
ADBE,2/16/2024,244029.3,35.3,31.1,247090.3,15,45.5,12.7
ADC,2/16/2024,8129,32,18.9,5732.6,1.1,35.3,10.7
ADCT,2/16/2024,248.2,-1.8,-1.9,435.1,-8,-2.4,3.5
ADD,2/16/2024,5.4,-0.1,-0.2,5.6,0.2,-0.1,
ADEA,2/16/2024,1863.9,12.3,7.5,1298.9,3.8,10.1,3.2
ADI,2/16/2024,99407,25.7,16.1,93416.3,2.6,28.2,7.6
ADIL,2/16/2024,1.1,-0.2,-0.2,1.4,0.6,-0.2,
ADM,2/16/2024,36617.9,6.8,5.7,28615.9,1.1,7.3,0.3
ADMA,2/16/2024,1262,732.4,127.7,1193.1,7.9,-52.3,5.1
ADN,2/16/2024,15.8,-0.2,-0.2,10.4,0.3,-0.1,2
ADNT,2/16/2024,4705,11.8,6.3,3148,1.4,14.8,0.2
