,UsMkt,DevMkt,EmergMkt,RF
199007,-0.0122,0.0267,0.0775,0.0068
199008,-0.0949,-0.1049,-0.1269,0.0066
199009,-0.0552,-0.1395,-0.1112,0.0060
199010,-0.0124,0.1572,0.0167,0.0068
199011,0.0692,-0.0745,-0.0381,0.0057
199012,0.0306,0.0104,0.0081,0.0060
199101,0.0521,0.0192,0.0260,0.0052
199102,0.0767,0.1049,0.1286,0.0048
199103,0.0309,-0.0433,0.0298,0.0044
199104,0.0025,0.0148,0.0059,0.0053
199105,0.0412,-0.0037,0.0504,0.0047
199106,-0.0452,-0.0630,-0.0355,0.0042
199107,0.0473,0.0352,0.0139,0.0049
199108,0.0278,-0.0287,0.0057,0.0046
199109,-0.0113,0.0600,-0.0308,0.0046
199110,0.0171,0.0183,0.0521,0.0042
199111,-0.0380,-0.0518,0.0000,0.0039
199112,0.1122,0.0420,0.0895,0.0038
199201,-0.0025,-0.0267,0.0887,0.0034
199202,0.0137,-0.0344,0.0479,0.0028
199203,-0.0232,-0.0698,-0.0235,0.0034
199204,0.0139,-0.0081,-0.0053,0.0032
199205,0.0058,0.0690,-0.0023,0.0028
199206,-0.0202,-0.0429,-0.0719,0.0032
199207,0.0408,-0.0315,-0.0015,0.0031
199208,-0.0212,0.0612,-0.0337,0.0026
199209,0.0145,-0.0276,-0.0095,0.0026
199210,0.0125,-0.0547,0.0447,0.0023
199211,0.0436,0.0047,-0.0060,0.0023
199212,0.0181,0.0050,0.0220,0.0028
199301,0.0116,0.0013,-0.0053,0.0023
199302,0.0034,0.0341,0.0345,0.0022
199303,0.0255,0.1026,0.0329,0.0025
199304,-0.0281,0.0961,0.0442,0.0024
199305,0.0311,0.0352,0.0431,0.0022
199306,0.0056,-0.0329,0.0038,0.0025
199307,-0.0010,0.0417,0.0376,0.0024
199308,0.0396,0.0506,0.0844,0.0025
199309,0.0014,-0.0281,0.0495,0.0026
199310,0.0163,0.0116,0.0992,0.0022
199311,-0.0164,-0.0887,0.0617,0.0025
199312,0.0188,0.0597,0.1863,0.0023
199401,0.0312,0.1044,-0.0133,0.0025
199402,-0.0234,-0.0013,-0.0097,0.0021
199403,-0.0451,-0.0284,-0.1134,0.0027
199404,0.0095,0.0353,-0.0019,0.0027
199405,0.0089,-0.0040,0.0187,0.0032
199406,-0.0272,0.0215,-0.0300,0.0031
199407,0.0310,0.0047,0.0653,0.0028
199408,0.0438,0.0144,0.1218,0.0037
199409,-0.0194,-0.0277,0.0255,0.0037
199410,0.0172,0.0289,-0.0278,0.0038
199411,-0.0367,-0.0548,-0.0430,0.0037
199412,0.0130,0.0114,-0.0895,0.0044
199501,0.0222,-0.0423,-0.1233,0.0042
199502,0.0403,-0.0086,0.0060,0.0040
199503,0.0265,0.0601,-0.0012,0.0046
199504,0.0255,0.0340,0.0255,0.0045
199505,0.0344,-0.0147,0.0593,0.0054
199506,0.0319,-0.0126,0.0053,0.0047
199507,0.0417,0.0525,0.0298,0.0045
199508,0.0102,-0.0284,-0.0241,0.0047
199509,0.0378,0.0095,-0.0038,0.0043
199510,-0.0105,-0.0184,-0.0341,0.0047
199511,0.0438,0.0215,-0.0110,0.0042
199512,0.0152,0.0345,0.0341,0.0049
199601,0.0269,0.0069,0.0914,0.0043
199602,0.0172,0.0049,-0.0241,0.0039
199603,0.0112,0.0188,0.0114,0.0039
199604,0.0252,0.0371,0.0257,0.0046
199605,0.0278,-0.0094,-0.0138,0.0042
199606,-0.0074,0.0017,0.0110,0.0040
199607,-0.0552,-0.0311,-0.0531,0.0045
199608,0.0318,0.0006,0.0299,0.0041
199609,0.0545,0.0229,0.0149,0.0044
199610,0.0128,-0.0121,-0.0187,0.0042
199611,0.0666,0.0333,0.0148,0.0041
199612,-0.0124,-0.0144,0.0057,0.0046
199701,0.0543,-0.0355,0.0708,0.0045
199702,-0.0010,0.0127,0.0515,0.0039
199703,-0.0459,-0.0052,-0.0212,0.0043
199704,0.0447,0.0052,-0.0212,0.0043
199705,0.0723,0.0792,0.0314,0.0049
199706,0.0447,0.0438,0.0473,0.0037
199707,0.0776,0.0108,0.0073,0.0043
199708,-0.0374,-0.0653,-0.1124,0.0041
199709,0.0579,0.0508,0.0172,0.0044
199710,-0.0338,-0.0687,-0.1587,0.0042
199711,0.0337,-0.0193,-0.0541,0.0039
199712,0.0180,-0.0028,-0.0001,0.0048
199801,0.0058,0.0427,-0.0604,0.0043
199802,0.0743,0.0641,0.1045,0.0039
199803,0.0515,0.0323,0.0412,0.0039
199804,0.0116,0.0099,0.0095,0.0043
199805,-0.0267,0.0001,-0.1047,0.0040
199806,0.0359,-0.0038,-0.1037,0.0041
199807,-0.0206,0.0051,0.0225,0.0040
199808,-0.1565,-0.1162,-0.2454,0.0043
199809,0.0661,-0.0308,0.0414,0.0046
199810,0.0745,0.0964,0.0808,0.0032
199811,0.0641,0.0438,0.0641,0.0031
199812,0.0654,0.0287,-0.0177,0.0038
199901,0.0385,0.0049,-0.0157,0.0035
199902,-0.0373,-0.0203,0.0025,0.0035
199903,0.0388,0.0423,0.0917,0.0043
199904,0.0470,0.0488,0.1092,0.0037
199905,-0.0212,-0.0392,0.0107,0.0034
199906,0.0517,0.0492,0.1058,0.0040
199907,-0.0311,0.0343,-0.0126,0.0038
199908,-0.0099,0.0180,0.0281,0.0039
199909,-0.0240,0.0206,-0.0294,0.0039
199910,0.0651,0.0351,0.0319,0.0039
199911,0.0373,0.0478,0.0869,0.0036
199912,0.0816,0.0804,0.1185,0.0044
200001,-0.0433,-0.0580,0.0062,0.0041
200002,0.0288,0.0368,0.0266,0.0043
200003,0.0567,0.0287,0.0065,0.0047
200004,-0.0594,-0.0619,-0.1084,0.0046
200005,-0.0392,-0.0248,-0.0253,0.0050
200006,0.0504,0.0357,0.0225,0.0040
200007,-0.0203,-0.0390,-0.0459,0.0048
200008,0.0753,0.0173,0.0026,0.0050
200009,-0.0494,-0.0475,-0.0917,0.0051
200010,-0.0220,-0.0392,-0.0848,0.0056
200011,-0.1021,-0.0370,-0.0836,0.0051
200012,0.0169,0.0188,0.0137,0.0050
200101,0.0367,0.0092,0.1198,0.0054
200102,-0.0967,-0.0751,-0.0628,0.0038
200103,-0.0684,-0.0784,-0.0823,0.0042
200104,0.0833,0.0798,0.0406,0.0039
200105,0.0104,-0.0282,0.0107,0.0032
200106,-0.0166,-0.0345,-0.0188,0.0028
200107,-0.0183,-0.0277,-0.0674,0.0030
200108,-0.0615,-0.0197,-0.0137,0.0031
200109,-0.0897,-0.1039,-0.1443,0.0028
200110,0.0268,0.0284,0.0526,0.0022
200111,0.0771,0.0327,0.0995,0.0017
200112,0.0176,-0.0030,0.0810,0.0015
200201,-0.0130,-0.0459,0.0323,0.0014
200202,-0.0216,0.0131,0.0135,0.0013
200203,0.0437,0.0523,0.0648,0.0013
200204,-0.0505,0.0113,0.0017,0.0015
200205,-0.0124,0.0230,-0.0184,0.0014
200206,-0.0708,-0.0323,-0.0737,0.0013
200207,-0.0803,-0.0908,-0.0644,0.0015
200208,0.0064,-0.0003,0.0115,0.0014
200209,-0.1021,-0.1029,-0.1083,0.0014
200210,0.0798,0.0412,0.0599,0.0014
200211,0.0608,0.0432,0.0618,0.0012
200212,-0.0565,-0.0243,-0.0260,0.0011
200301,-0.0247,-0.0258,-0.0005,0.0010
200302,-0.0179,-0.0169,-0.0274,0.0009
200303,0.0119,-0.0168,-0.0312,0.0010
200304,0.0832,0.0935,0.0914,0.0010
200305,0.0614,0.0711,0.0719,0.0009
200306,0.0152,0.0290,0.0585,0.0010
200307,0.0242,0.0214,0.0525,0.0007
200308,0.0241,0.0319,0.0660,0.0007
200309,-0.0116,0.0419,0.0159,0.0008
200310,0.0615,0.0582,0.0760,0.0007
200311,0.0142,0.0204,0.0126,0.0007
200312,0.0437,0.0694,0.0733,0.0008
200401,0.0222,0.0248,0.0365,0.0007
200402,0.0146,0.0243,0.0474,0.0006
200403,-0.0123,0.0129,0.0159,0.0009
200404,-0.0175,-0.0270,-0.0702,0.0008
200405,0.0123,0.0021,-0.0186,0.0006
200406,0.0194,0.0290,0.0054,0.0008
200407,-0.0396,-0.0347,-0.0172,0.0010
200408,0.0019,0.0080,0.0418,0.0011
200409,0.0171,0.0271,0.0594,0.0011
200410,0.0154,0.0386,0.0270,0.0011
200411,0.0469,0.0624,0.0861,0.0015
200412,0.0359,0.0430,0.0545,0.0016
200501,-0.0260,-0.0113,0.0079,0.0016
200502,0.0205,0.0409,0.0858,0.0016
200503,-0.0176,-0.0192,-0.0581,0.0021
200504,-0.0240,-0.0236,-0.0264,0.0021
200505,0.0389,-0.0025,0.0341,0.0024
200506,0.0080,0.0211,0.0362,0.0023
200507,0.0416,0.0342,0.0668,0.0024
200508,-0.0092,0.0347,0.0102,0.0030
200509,0.0078,0.0378,0.0870,0.0029
200510,-0.0175,-0.0302,-0.0582,0.0027
200511,0.0392,0.0248,0.0780,0.0031
200512,0.0007,0.0543,0.0624,0.0032
200601,0.0339,0.0609,0.1030,0.0035
200602,0.0004,-0.0018,0.0053,0.0034
200603,0.0183,0.0364,0.0113,0.0037
200604,0.0109,0.0494,0.0757,0.0036
200605,-0.0314,-0.0424,-0.0989,0.0043
200606,0.0005,-0.0039,-0.0102,0.0040
200607,-0.0038,0.0059,0.0127,0.0040
200608,0.0245,0.0288,0.0302,0.0042
200609,0.0225,0.0003,0.0106,0.0041
200610,0.0364,0.0387,0.0466,0.0041
200611,0.0213,0.0312,0.0764,0.0042
200612,0.0127,0.0306,0.0462,0.0040
200701,0.0184,0.0105,-0.0072,0.0044
200702,-0.0158,0.0092,0.0023,0.0038
200703,0.0111,0.0292,0.0431,0.0043
200704,0.0393,0.0419,0.0504,0.0044
200705,0.0365,0.0233,0.0558,0.0041
200706,-0.0156,0.0040,0.0467,0.0040
200707,-0.0333,-0.0102,0.0595,0.0040
200708,0.0134,-0.0218,-0.0297,0.0042
200709,0.0354,0.0561,0.0926,0.0032
200710,0.0212,0.0463,0.0988,0.0032
200711,-0.0449,-0.0427,-0.0673,0.0034
200712,-0.0060,-0.0178,0.0127,0.0027
200801,-0.0615,-0.0867,-0.1218,0.0021
200802,-0.0296,0.0222,0.0697,0.0013
200803,-0.0076,-0.0137,-0.0476,0.0017
200804,0.0478,0.0536,0.0717,0.0018
200805,0.0204,0.0194,0.0199,0.0018
200806,-0.0827,-0.0774,-0.0945,0.0017
200807,-0.0062,-0.0392,-0.0407,0.0015
200808,0.0166,-0.0444,-0.0805,0.0013
200809,-0.0909,-0.1428,-0.1793,0.0015
200810,-0.1715,-0.2103,-0.2721,0.0008
200811,-0.0783,-0.0541,-0.0771,0.0003
200812,0.0174,0.0664,0.0742,0.0000
200901,-0.0812,-0.0902,-0.0636,0.0000
200902,-0.1009,-0.0994,-0.0506,0.0001
200903,0.0897,0.0609,0.1370,0.0002
200904,0.1020,0.1239,0.1698,0.0001
200905,0.0521,0.1367,0.1798,0.0000
200906,0.0044,-0.0077,-0.0142,0.0001
200907,0.0773,0.0927,0.1110,0.0001
200908,0.0334,0.0421,0.0004,0.0001
200909,0.0409,0.0465,0.0942,0.0001
200910,-0.0259,-0.0183,-0.0026,0.0000
200911,0.0556,0.0232,0.0419,0.0000
200912,0.0276,0.0124,0.0463,0.0001
201001,-0.0336,-0.0401,-0.0456,0.0000
201002,0.0340,-0.0022,0.0066,0.0000
201003,0.0632,0.0633,0.0812,0.0001
201004,0.0201,-0.0065,0.0153,0.0001
201005,-0.0788,-0.1070,-0.0888,0.0001
201006,-0.0555,-0.0121,-0.0022,0.0001
201007,0.0694,0.0925,0.0815,0.0001
201008,-0.0476,-0.0326,-0.0143,0.0001
201009,0.0955,0.1002,0.1122,0.0001
201010,0.0389,0.0399,0.0299,0.0001
201011,0.0061,-0.0428,-0.0228,0.0001
201012,0.0683,0.0828,0.0724,0.0001
201101,0.0200,0.0214,-0.0238,0.0001
201102,0.0350,0.0342,-0.0169,0.0001
201103,0.0046,-0.0159,0.0551,0.0001
201104,0.0290,0.0570,0.0373,0.0000
201105,-0.0127,-0.0277,-0.0257,0.0000
201106,-0.0175,-0.0138,-0.0145,0.0000
201107,-0.0236,-0.0118,0.0034,0.0000
201108,-0.0598,-0.0856,-0.0907,0.0001
201109,-0.0759,-0.1032,-0.1482,0.0000
201110,0.1135,0.0874,0.1215,0.0000
201111,-0.0028,-0.0462,-0.0637,0.0000
201112,0.0074,-0.0131,-0.0128,0.0000
201201,0.0505,0.0602,0.1116,0.0000
201202,0.0442,0.0535,0.0633,0.0000
201203,0.0311,-0.0025,-0.0292,0.0000
201204,-0.0085,-0.0145,-0.0162,0.0000
201205,-0.0618,-0.1123,-0.1037,0.0001
201206,0.0389,0.0581,0.0367,0.0000
201207,0.0079,0.0079,0.0133,0.0000
201208,0.0256,0.0296,0.0056,0.0001
201209,0.0274,0.0343,0.0579,0.0001
201210,-0.0175,0.0078,-0.0068,0.0001
201211,0.0079,0.0180,0.0109,0.0001
201212,0.0119,0.0330,0.0511,0.0001
201301,0.0557,0.0526,0.0175,0.0000
201302,0.0129,-0.0094,-0.0083,0.0000
201303,0.0403,0.0082,-0.0119,0.0000
201304,0.0155,0.0440,0.0108,0.0000
201305,0.0280,-0.0149,-0.0189,0.0000
201306,-0.0120,-0.0374,-0.0644,0.0000
201307,0.0565,0.0549,0.0158,0.0000
201308,-0.0271,-0.0104,-0.0249,0.0000
201309,0.0377,0.0708,0.0682,0.0000
201310,0.0418,0.0330,0.0426,0.0000
201311,0.0312,0.0062,-0.0148,0.0000
201312,0.0281,0.0170,-0.0049,0.0000
201401,-0.0332,-0.0319,-0.0591,0.0000
201402,0.0465,0.0536,0.0359,0.0000
201403,0.0043,-0.0025,0.0256,0.0000
201404,-0.0019,0.0108,0.0056,0.0000
201405,0.0206,0.0142,0.0388,0.0000
201406,0.0261,0.0148,0.0307,0.0000
201407,-0.0204,-0.0193,0.0168,0.0000
201408,0.0424,-0.0023,0.0219,0.0000
201409,-0.0197,-0.0410,-0.0625,0.0000
201410,0.0252,-0.0180,0.0047,0.0000
201411,0.0255,0.0082,-0.0113,0.0000
201412,-0.0006,-0.0290,-0.0397,0.0000
201501,-0.0311,-0.0027,0.0077,0.0000
201502,0.0613,0.0564,0.0257,0.0000
201503,-0.0112,-0.0127,-0.0108,0.0000
201504,0.0059,0.0490,0.0729,0.0000
201505,0.0136,-0.0042,-0.0286,0.0000
201506,-0.0153,-0.0259,-0.0234,0.0000
201507,0.0154,0.0077,-0.0672,0.0000
201508,-0.0604,-0.0634,-0.0878,0.0000
201509,-0.0308,-0.0464,-0.0205,0.0000
201510,0.0775,0.0683,0.0711,0.0000
201511,0.0056,-0.0131,-0.0281,0.0000
201512,-0.0216,-0.0120,-0.0161,0.0001
201601,-0.0576,-0.0674,-0.0626,0.0001
201602,-0.0005,-0.0106,-0.0059,0.0002
201603,0.0698,0.0703,0.1209,0.0002
201604,0.0093,0.0326,0.0126,0.0001
201605,0.0179,-0.0091,-0.0351,0.0001
201606,-0.0003,-0.0326,0.0413,0.0002
201607,0.0397,0.0505,0.0467,0.0002
201608,0.0052,0.0011,0.0244,0.0002
201609,0.0027,0.0161,0.0123,0.0002
201610,-0.0200,-0.0165,-0.0015,0.0002
201611,0.0487,-0.0219,-0.0448,0.0001
201612,0.0185,0.0282,0.0043,0.0003
201701,0.0198,0.0360,0.0525,0.0004
201702,0.0361,0.0081,0.0347,0.0004
201703,0.0020,0.0305,0.0282,0.0003
201704,0.0114,0.0282,0.0177,0.0005
201705,0.0112,0.0358,0.0244,0.0006
201706,0.0084,0.0041,0.0077,0.0006
201707,0.0194,0.0328,0.0531,0.0007
201708,0.0025,0.0033,0.0205,0.0009
201709,0.0260,0.0224,-0.0023,0.0009
201710,0.0234,0.0150,0.0328,0.0009
201711,0.0320,0.0082,0.0049,0.0008
201712,0.0115,0.0187,0.0363,0.0009
201801,0.0569,0.0483,0.0775,0.0011
201802,-0.0354,-0.0419,-0.0434,0.0011
201803,-0.0223,-0.0112,-0.0145,0.0012
201804,0.0043,0.0185,-0.0052,0.0014
201805,0.0279,-0.0159,-0.0294,0.0014
201806,0.0062,-0.0137,-0.0433,0.0014
201807,0.0335,0.0192,0.0196,0.0016
201808,0.0360,-0.0184,-0.0255,0.0016
201809,0.0021,0.0083,-0.0118,0.0015
201810,-0.0749,-0.0853,-0.0867,0.0019
201811,0.0187,0.0003,0.0444,0.0018
201812,-0.0936,-0.0508,-0.0204,0.0019
201901,0.0862,0.0665,0.0747,0.0021
201902,0.0358,0.0251,0.0032,0.0018
201903,0.0129,0.0058,0.0099,0.0019
201904,0.0417,0.0300,0.0172,0.0021
201905,-0.0673,-0.0457,-0.0613,0.0021
201906,0.0711,0.0516,0.0557,0.0018
201907,0.0138,-0.0144,-0.0164,0.0019
201908,-0.0242,-0.0236,-0.0444,0.0016
201909,0.0162,0.0257,0.0215,0.0018
201910,0.0221,0.0343,0.0395,0.0015
201911,0.0399,0.0146,-0.0028,0.0012
201912,0.0291,0.0353,0.0694,0.0014
202001,0.0002,-0.0219,-0.0450,0.0013
202002,-0.0801,-0.0875,-0.0551,0.0012
202003,-0.1327,-0.1380,-0.1701,0.0012
